filingDate,year,form,accessionNumber,DocumentName,is10K
2024-08-19,2024,4,0000320193-24-000088,xslF345X05/wk-form4_1724106610.xml,0
2024-08-13,2024,4,0000320193-24-000086,xslF345X05/wk-form4_1723590126.xml,0
2024-08-07,2024,4,0000320193-24-000084,xslF345X05/wk-form4_1723069808.xml,0
2024-08-05,2024,144,0001950047-24-005824,xsl144X01/primary_doc.xml,0
2024-08-02,2024,10-Q,0000320193-24-000081,aapl-20240629.htm,0
2024-08-01,2024,8-K,0000320193-24-000080,aapl-20240801.htm,0
2024-06-03,2024,4,0000320193-24-000075,xslF345X05/wk-form4_1717453877.xml,0
2024-05-30,2024,144,0001921094-24-000702,xsl144X01/primary_doc.xml,0
2024-05-17,2024,4,0000320193-24-000073,xslF345X05/wk-form4_1715985021.xml,0
2024-05-16,2024,UPLOAD,0000000000-24-005673,filename1.pdf,0
2024-05-14,2024,4,0000320193-24-000071,xslF345X05/wk-form4_1715725806.xml,0
2024-05-03,2024,8-K,0001140361-24-024352,ef20028273_8k.htm,0
2024-05-03,2024,10-Q,0000320193-24-000069,aapl-20240330.htm,0
2024-05-02,2024,8-K,0000320193-24-000067,aapl-20240502.htm,0
2024-04-29,2024,CORRESP,0000320193-24-000061,filename1.htm,0
2024-04-17,2024,4,0000320193-24-000058,xslF345X05/wk-form4_1713393040.xml,0
2024-04-15,2024,4,0000320193-24-000056,xslF345X05/wk-form4_1713220262.xml,0
2024-04-15,2024,4,0000320193-24-000055,xslF345X05/wk-form4_1713220215.xml,0
2024-04-11,2024,144,0001958244-24-001666,xsl144X01/primary_doc.xml,0
2024-04-11,2024,144,0001973141-24-000220,xsl144X01/primary_doc.xml,0
2024-04-05,2024,CORRESP,0001140361-24-018378,filename1.htm,0
2024-04-03,2024,4,0000320193-24-000052,xslF345X05/wk-form4_1712183631.xml,0
2024-04-03,2024,4,0000320193-24-000051,xslF345X05/wk-form4_1712183580.xml,0
2024-04-03,2024,4,0000320193-24-000050,xslF345X05/wk-form4_1712183535.xml,0
